# source, target, _graphml_edge_id, bridge, crs, geometry, highway, lanes, length, name, oneway, osmid, ref, simplified, streets_per_node
0,1,0,,,"LINESTRING (-85.218304 31.552349, -85.219026 31.552922, -85.220257 31.553288, -85.22071200000001 31.553609, -85.22114000000001 31.554066, -85.22205 31.554615, -85.22287900000001 31.554913, -85.224458 31.555233, -85.229574 31.55671, -85.235241 31.555486, -85.236043 31.555182)",residential,,1831.641,,False,7710350,,,
1,0,0,,,"LINESTRING (-85.236043 31.555182, -85.235241 31.555486, -85.229574 31.55671, -85.224458 31.555233, -85.22287900000001 31.554913, -85.22205 31.554615, -85.22114000000001 31.554066, -85.22071200000001 31.553609, -85.220257 31.553288, -85.219026 31.552922, -85.218304 31.552349)",residential,,1831.6409999999998,,False,7710350,,,
1,40,0,,,"LINESTRING (-85.236043 31.555182, -85.236496 31.555906, -85.239637 31.559222, -85.24019800000001 31.559528, -85.24025 31.559502)",residential,,633.9039999999999,Feild Road,False,7716478,,,
1,329,0,,,"LINESTRING (-85.236043 31.555182, -85.236126 31.555162, -85.237382 31.554911, -85.23779500000001 31.554806, -85.237981 31.554735)",residential,,190.562,Feild Road,False,7716480,,,
2,3,0,,,,residential,,16.213,,False,7710404,,,
2,339,0,,,"LINESTRING (-85.253066 31.558056, -85.252945 31.558034, -85.25279399999999 31.557963, -85.252658 31.557874, -85.25251799999999 31.557795, -85.25235499999999 31.55776, -85.25219300000001 31.557793, -85.251869 31.558033, -85.2518 31.558077, -85.251717 31.558106, -85.251627 31.558107, -85.251549 31.558075, -85.251482 31.558027, -85.25142099999999 31.557972, -85.251368 31.55789)",residential,,193.123,Vickery Drive,False,7716444,,,
2,292,0,,,"LINESTRING (-85.253066 31.558056, -85.25319500000001 31.55808, -85.25334100000001 31.558099)",residential,,26.505,Vickery Drive,False,7716444,,,
3,2,0,,,,residential,,16.213,,False,7710404,,,
4,5,0,,,"LINESTRING (-85.27833200000001 31.589225, -85.278183 31.589224, -85.278014 31.589204, -85.277762 31.589159, -85.277607 31.589101, -85.277548 31.589045, -85.277468 31.588915)",residential,,95.38700000000001,,False,7710469,,,
5,4,0,,,"LINESTRING (-85.277468 31.588915, -85.277548 31.589045, -85.277607 31.589101, -85.277762 31.589159, -85.278014 31.589204, -85.278183 31.589224, -85.27833200000001 31.589225)",residential,,95.38700000000001,,False,7710469,,,
6,7,0,,,,residential,,53.043,,False,7710517,,,
6,156,0,,,"LINESTRING (-85.256851 31.566182, -85.256579 31.566148, -85.25632299999999 31.566134, -85.256145 31.566136, -85.256061 31.566129, -85.255888 31.566122, -85.25579999999999 31.566115, -85.255713 31.566093, -85.25564 31.566048, -85.25559 31.565986, -85.25556400000001 31.565916, -85.255527 31.565773, -85.255359 31.565206, -85.255323 31.565141, -85.255267 31.565086, -85.255199 31.565044, -85.25512000000001 31.565018, -85.255036 31.565004, -85.25486600000001 31.564987, -85.254525 31.564969, -85.25440999999999 31.564959)",residential,,314.683,Rock Hill Circle,False,7714619,,,
6,312,0,,,"LINESTRING (-85.256851 31.566182, -85.257001 31.566201, -85.25725300000001 31.566249, -85.257419 31.56628, -85.257665 31.566343, -85.25777600000001 31.566356)",residential,,89.88499999999999,Rock Hill Circle,False,7714619,,,
7,8,0,,,,residential,,10.008,,False,7710517,,,
7,6,0,,,,residential,,53.043,,False,7710517,,,
7,9,0,,,,residential,,31.457,,False,7710518,,,
8,7,0,,,,residential,,10.008,,False,7710517,,,
