# source, target, length
47,928,14.0184
53,477,75.5069
66,1133,83.7002
67,1263,19.2497
73,1137,83.1561
112,1917,26.1934
143,837,139.2779
145,146,25.2792
146,147,21.8478
147,1343,85.4718
148,2660,13.6018
148,9,10.1774
149,1289,7.2453
149,21,20.6394
150,199,25.8792
151,219,42.6528
152,172,13.2206
152,214,58.8389
153,168,6.9528
153,2778,47.1767
154,236,37.3493
155,171,33.995
155,2777,46.6486
156,2840,20.3743
156,222,34.2119
157,177,9.0654
158,2868,25.9614
158,2854,11.2854
158,169,19.7881
159,167,16.2608
160,174,9.9476
160,2843,21.364
161,2806,36.8881
161,2861,23.4947
162,209,19.8303
162,2843,36.6253
163,188,9.2183
163,2869,28.7968
164,22,34.3512
164,2820,30.4003
165,215,38.8369
165,2853,18.4562
165,173,18.8176
166,249,35.3673
166,155,14.527
167,2810,38.6757
168,190,39.0449
170,228,25.3705
170,174,35.7139
171,2856,24.9554
172,183,54.2425
172,231,26.012
173,2826,27.8113
173,203,24.3896
174,212,25.1905
175,168,13.1897
175,176,9.4961
176,2860,15.9775
176,215,32.6364
177,2866,28.45
177,207,10.6715
178,288,52.1561
178,150,23.312
180,208,17.7739
180,159,38.0148
181,2829,60.6775
182,218,15.547
182,185,24.1623
183,2825,33.0214
184,2865,16.1966
185,2794,50.0447
185,197,19.1385
186,243,25.4623
186,179,17.1062
187,192,21.6707
187,238,25.3282
188,191,8.9255
189,213,10.4592
189,162,32.1302
190,2813,45.1397
190,214,11.6742
191,229,17.4587
191,2857,28.1768
192,194,15.4489
193,166,25.4731
194,2864,22.1017
195,313,52.77
196,220,24.7263
197,255,60.3342
197,196,16.6187
198,159,15.5823
198,206,17.1372
199,201,19.1605
200,193,11.449
200,272,46.6531
201,227,12.4168
201,181,8.7801
202,184,20.0837
202,237,16.21
203,24,10.3577
203,239,18.9823
204,195,11.2816
204,315,52.5744
204,210,25.3134
205,200,13.3567
205,195,6.3012
206,167,14.8804
207,226,10.0293
207,211,30.6907
208,2844,48.6599
208,224,17.3608
209,212,37.1751
209,247,18.9529
210,179,12.0056
211,158,20.8072
212,160,24.9688
212,244,40.8584
213,209,36.9598
213,234,22.6301
214,221,34.2249
215,225,18.7855
216,261,31.8629
216,258,56.84
217,1195,47.3563
218,246,12.3061
218,255,41.9336
219,257,28.4331
219,2863,46.1743
219,261,39.4965
220,250,12.623
220,2852,38.6351
221,175,26.5669
222,242,39.3899
222,253,50.0556
222,184,81.6393
223,25,71.3111
223,164,43.7574
224,314,41.5751
224,230,26.8022
225,165,24.1815
226,264,22.5091
226,233,34.2387
227,241,23.6932
227,245,10.1222
228,223,27.5999
228,283,48.3653
229,276,42.7488
230,198,18.3277
231,248,19.8733
231,303,36.6521
232,183,24.9568
233,211,10.3845
234,279,25.1969
234,208,22.8303
235,161,31.1913
236,256,11.3184
236,207,41.0761
237,188,36.6982
238,192,25.6461
239,269,19.8841
239,225,41.306
239,246,47.59
240,194,22.3209
240,290,26.7642
241,199,19.1605
242,265,31.6136
242,260,14.8327
243,210,26.9313
243,251,15.042
244,304,47.8281
244,247,5.5845
245,291,23.1809
245,240,44.537
246,273,16.58
248,232,37.2578
249,272,30.7938
250,267,21.8631
250,256,35.5937
251,287,20.8645
251,235,27.2227
252,238,6.9067
252,232,23.2069
253,281,49.9921
254,184,33.2566
254,237,16.5261
255,273,32.5955
257,302,35.0256
258,299,19.5243
258,249,20.2912
259,2215,38.6803
259,2845,11.9489
260,296,32.7369
262,229,17.8269
262,282,29.1839
263,305,26.184
263,223,20.4081
264,318,29.6972
264,256,17.7263
264,271,19.2957
265,206,48.0743
265,326,27.681
265,297,38.4549
266,284,9.5741
266,215,25.499
267,300,19.3241
267,300,17.8744
268,247,22.3916
268,312,26.5862
269,266,57.5246
270,233,22.7617
271,347,33.3452
271,270,24.1469
272,317,16.0466
272,193,41.5352
273,377,51.4558
274,270,14.667
274,169,50.9605
274,27,9.4287
275,252,14.3289
275,334,29.0479
276,302,13.6369
277,2637,21.2152
277,345,78.8775
280,235,23.8982
280,288,34.3218
281,254,15.6046
282,327,20.6258
282,276,9.1208
283,349,34.6136
283,212,37.4213
283,304,20.5268
284,322,15.2816
285,307,25.7378
285,221,32.3857
286,285,17.9743
286,284,24.6386
287,298,14.1266
288,293,15.6185
289,253,19.7009
289,371,41.6725
290,294,7.6413
290,275,18.1689
291,294,46.448
292,323,25.2704
292,243,25.9418
292,287,9.3538
293,351,28.7229
293,241,32.1401
294,350,26.7773
295,257,18.8773
295,333,42.3307
296,331,35.2859
296,356,42.5833
297,260,17.7912
298,306,14.687
298,280,21.5524
299,308,15.8336
301,261,18.9069
301,311,30.3043
303,336,17.1189
303,307,50.122
304,369,37.0756
305,26,56.1847
305,338,30.7641
306,280,9.8787
307,335,13.7982
308,311,25.2493
308,341,18.4115
309,281,10.9831
309,316,25.2014
310,314,26.5285
310,230,36.9551
310,357,24.1515
311,261,33.9831
312,364,29.7777
312,279,20.7675
313,315,20.3118
314,321,23.3594
315,323,20.6119
316,373,34.6735
316,262,24.9876
317,299,45.5064
317,313,35.1976
318,367,32.7401
318,300,6.7077
319,263,29.5888
319,349,32.8072
320,376,42.0457
320,295,7.2635
321,279,27.7992
322,330,6.582
323,390,46.3607
324,268,25.4369
325,289,36.4096
325,309,18.4045
325,342,26.5014
326,412,58.5142
326,331,21.8794
327,302,19.6391
328,429,60.2259
328,248,66.3564
329,348,21.7906
329,317,10.0939
329,389,38.1689
330,269,72.1965
331,297,16.162
331,358,23.7332
332,333,35.3999
332,311,12.3571
333,409,42.8002
333,301,17.0262
334,328,15.1623
335,339,42.3773
336,335,43.5593
337,290,23.4232
337,334,17.8663
338,408,40.6385
338,28,34.0632
339,286,24.6182
339,322,27.8319
340,255,57.9403
340,353,15.4838
341,428,51.9636
342,309,19.2219
343,344,43.1287
343,2765,14.3034
344,362,8.3137
345,717,18.0925
346,343,37.9308
347,366,35.0945
347,370,37.2468
348,433,51.0794
348,341,40.1919
349,400,29.7462
349,369,19.7628
350,407,54.6113
350,407,37.7693
351,368,10.8854
352,339,30.2332
352,330,10.7885
353,402,29.5412
354,306,24.4262
355,324,21.1445
355,384,40.2465
356,359,5.5437
357,380,25.1078
357,412,48.681
358,455,68.7989
358,356,35.7771
359,382,24.9587
360,1345,9.3507
360,1288,27.6264
361,346,58.0054
361,278,20.6413
362,717,28.4513
362,345,17.9082
363,427,42.4068
363,332,16.2416
364,397,22.4873
364,381,21.4963
365,347,10.7885
366,365,21.577
367,402,29.8486
367,353,16.6945
367,374,16.2315
368,399,16.8222
368,354,55.9316
369,385,23.1385
370,394,15.1164
370,274,51.5246
370,29,20.4897
371,411,49.4456
372,351,29.0413
372,291,44.1088
373,327,38.5689
374,366,11.9574
375,319,42.5778
376,320,50.4546
377,419,32.9581
378,393,10.6759
378,352,17.2478
379,383,18.067
379,354,34.0119
380,410,18.0205
381,321,35.5552
381,456,41.6512
381,398,18.7331
382,371,11.6697
382,450,50.4603
383,354,18.1321
384,324,44.9131
385,355,20.8237
385,424,56.2953
386,336,29.8841
386,401,33.8578
387,439,27.377
387,315,41.8465
387,390,28.311
388,451,30.2464
388,387,36.8749
389,388,9.5875
390,474,42.4959
390,391,12.2372
391,469,40.2417
391,379,7.8045
392,342,31.2405
392,459,33.1587
392,373,18.5016
393,413,12.8204
394,365,38.5
394,30,22.7195
395,458,58.28
395,377,17.1816
396,413,23.4597
396,393,22.1975
397,384,12.1058
398,314,48.4041
398,380,24.9329
399,403,58.3726
400,414,11.0926
400,448,47.9707
401,396,48.3437
402,418,10.9934
402,340,44.0194
403,383,10.4883
404,389,14.1668
405,480,39.2188
405,375,28.8851
406,378,36.7709
406,352,51.6528
407,422,11.8828
408,417,6.7032
409,421,32.9241
409,427,25.075
410,461,30.2169
411,392,20.0209
412,437,11.7499
413,435,10.8143
414,405,13.5161
414,440,11.991
415,337,47.4358
416,408,15.5213
416,375,32.9977
417,31,27.9365
418,430,20.6119
419,468,26.2067
419,446,40.8543
420,403,11.7694
420,426,29.0473
421,423,25.823
421,498,30.2374
422,441,21.6921
422,415,14.0871
423,376,37.5935
424,397,18.8223
424,456,16.8145
425,427,22.8743
425,363,42.2555
426,465,27.6193
426,444,19.7914
427,486,24.3486
428,425,20.7026
429,473,18.032
429,386,63.594
430,470,16.8387
430,374,37.4036
430,445,48.956
431,612,49.3778
431,529,34.0216
432,278,19.1547
432,2262,43.0554
432,1050,30.1363
433,428,29.5092
433,404,36.5685
434,436,27.0959
435,463,9.0036
435,457,19.6347
436,437,9.9303
437,551,56.6285
438,372,51.3323
439,451,34.4687
439,514,30.9724
440,467,28.0785
441,485,19.6981
441,438,24.7413
442,399,24.8228
442,449,35.8964
443,415,12.7102
443,429,33.5627
444,465,6.4823
444,442,19.8396
445,365,44.0284
445,482,56.522
446,513,41.9659
446,418,14.0007
446,470,28.4388
